qid,question
788,"Mức phạt hành chính đối với trường hợp luật sư thông báo không đầy đủ cho khách hàng về quyền, nghĩa vụ trong việc thực hiện dịch vụ pháp lý?"
789,Doanh nghiệp môi giới bảo hiểm khi thay đổi vốn điều lệ có cần xin chấp thuận của Bộ Tài chính trước khi thực hiện hay không?
790,Ông A có lô hàng nguyên liệu làm thuốc thú y nhập khẩu từ Ấn Độ về Việt Nam thì lô hàng nguyên liệu này khi nhập khẩu có bị kiểm tra chất lượng bởi cơ quan thẩm quyền không?
791,Những ai thuộc diện không được miễn thị thực?
792,"Bà X (50 tuổi, có 3 người con ruột) là giám đốc cơ sở bảo trợ xã hội ngoài công lập hiện đang chăm sóc, nuôi dưỡng 10 trẻ em bị bỏ rơi. Vì trong Giấy khai sinh của những trẻ em này để trống phần khai về cha mẹ nên bà X có nguyện vọng nhận tất cả những trẻ em này làm con nuôi để bổ sung phần khai về mẹ vào Giấy khai sinh của trẻ em. Khi bà X nộp hồ sơ đăng ký việc nuôi con nuôi thì công chức tư pháp – hộ tịch cấp xã từ chối tiếp nhận hồ sơ với lý do một người không thể nhận đến 10 trẻ em làm con nuôi. Việc công chức tư pháp – hộ tịch từ chối tiếp nhận hồ sơ trong trường hợp này có đúng hay không?"
793,Bác sĩ y khoa thực hành tại cơ sở y tế có được kê đơn thuốc không?
794,Rượu nhập khẩu và rượu sản xuất trong nước được dán tem theo nguyên tắc nào?
795,Tôi hiện đang cư trú tại thành phố Hà Nội. Tôi có quan hệ tình cảm với một chị và đã sinh được một bé trai. Do chúng tôi chưa đăng ký kết hôn và hiện tôi cũng đang có gia đình riêng. Vậy nay tôi muốn nhận con mình để nhập vào hộ khẩu nhà tôi thì cơ quan có thẩm quyền xác nhận quan hệ cho bố con tôi là cơ quan nào ạ? Tôi phải chuẩn bị những giấy tờ gì?
796,Khiếu nại bằng cách gửi email có được không?
797,Điều kiện tổ chức tự vệ trong doanh nghiệp được quy định như thế nào
798,Trách nhiệm của Bộ Khoa học và Công nghệ về quản lý và phát triển công nghiệp an ninh được quy định như thế nào?
799,Bí mật kinh doanh có thuộc phạm vi giải trình về tham nhũng không?
800,"Tôi muốn thực hiện Thông báo thay đổi địa điểm đặt trụ sở của Chi nhánh của Tổ chức trọng tài nước ngoài tại Việt Nam sang tỉnh, thành phố trực thuộc trung ương khác thì phải làm gì?"
801,"Đối với tố cáo có dấu hiệu tội phạm thì cơ quan, tổ chức, cá nhân tiếp nhận tố cáo cần phải xử lý như thế nào?"
802,"Tôi muốn biết văn bản cho phép sử dụng địa danh hoặc dấu hiệu khác chỉ nguồn gốc địa lý của đặc sản địa phương để đăng ký nhãn hiệu tập thể, nhãn hiệu chứng nhận có chứa yếu tố đó do cơ quan có thẩm quyền nào cấp?"
803,Những trường hợp nào thì không được cấp Chứng chỉ hành nghề luật sư ?
804,Công trình xây dựng không theo tuyến cấp I có được cấp giấy phép theo giai đoạn không?
805,Việc lập hồ sơ và lưu trữ hồ sơ khiếu nại thực hiện như thế nào theo quy định mới?
806,Trường hợp thay đổi một số nội dung đăng ký doanh nghiệp có phải thực hiện công bố thông tin không? Việc đăng công bố nội dung đăng ký doanh nghiệp phải thực hiện trong thời hạn như thế nào?
807,"Kính gửi Cục Quản lý chất lượng nông lâm sản và thuỷ sản, Công ty tôi muốn được chỉ định là cơ sở kiểm nghiệm thực phẩm phục vụ quản lý nhà nước, vậy hồ sơ đề nghị đăng ký chỉ định gồm những gì?"
808,Tổ chức hoạt động điều tra thống kê ngành tư pháp là đơn vị nào?
809,Công dân được sử dụng Chứng minh nhân dân để làm gì?
810,Muốn công bố mở cảng cạn và công bố mở cảng cạn đối với điểm thông quan hàng hóa đã được phê duyệt chủ trương chuyển đổi thành cảng cạn cần thực hiện những thủ tục gì?
811,"Khi đăng ký hoạt động giám định chất lượng, giám định viên của tổ chức đăng ký có bắt buộc phải tốt nghiệp đại học không?"
812,"Hồ sơ đề nghị chấp thuận thay đổi nội dung, phạm vi hoạt động của quỹ tín dụng nhân dân gồm những gì?"
813,Ai chi trả chi phí cho cán bộ huấn luyện PCCC khi huấn luyện ở doanh nghiệp?
814,Công tác chuẩn bị để kiểm kê đất đai và lập bản đồ hiện trạng sử dụng đất định kỳ tại Tổng cục Quản lý đất được quy định như thế nào ?
815,Xác định vấn đề giới trong xây dựng văn bản quy phạm pháp luật được quy định như thế nào?
816,"Xét TTND, TTUT cho cán bộ chuyển đổi vị trí công tác: sang trường Cao đẳng Y tế làm Phó Hiệu trưởng, có chuyên môn kỹ thuật sản trên 15 năm, thành tích có đủ, có xét và thành lập Hội đồng ở đơn vị cũ hay ở Trường"
817,Tổ chức tín dụng có trách nhiệm gì khi được yêu cầu phong tỏa tài khoản của pháp nhân thương mại để thi hành án?
818,Trường hợp nào người yêu cầu cấp Phiếu lý lịch tư pháp phải nộp bản sao có chứng thực các giấy tờ trong hồ sơ yêu cầu cấp Phiếu lý lịch tư pháp?
819,Thời hạn lưu giữ hồ sơ phê duyệt mẫu là bao lâu?
820,Hình thức gửi báo cáo thống kê công tác dân tộc được quy định như thế nào?
821,"Trình tự, thủ tục cấp lại Giấy phép kinh doanh vận tải khi thay đổi nội dung giấy phép được quy định như thế nào?"
822,"Thời hạn trả lời xác nhận việc đăng ký tổ chức hội chợ, triển lãm thương mại được quy định như thế nào?"
823,Khu kinh tế ven biển là gì?
824,Kinh phí thực hiện chính sách đối với thanh niên tình nguyện được quy định như thế nào?
825,"Chi nhánh tổ chức hòa giải thương mại nước ngoài tại Việt Nam thay đổi địa chỉ trụ sở của từ tỉnh, thành phố trực thuộc Trung ương này sang tỉnh, thành phố trực thuộc Trung ương khác thì cần thực hiện thủ tục gì tại Sở Tư pháp?"
826,Xác định nghĩa vụ nộp báo cáo kết quả thăm dò khoáng sản gồm những gì?
827,Điều khiển xe có Giấy chứng nhận hoặc tem kiểm định an toàn kỹ thuật và bảo vệ môi trường hết hạn dưới 1 tháng có bị phạt không?
828,"Tôi là chủ cơ sở lưu trú, tôi đã khai báo tạm trú cho người  nước ngoài qua Trang thông tin điện tử. Vậy tôi có phải khai bằng Phiếu khai báo tạm trú và gửi tới Công an cấp xã nữa hay không?"
829,Hàng hóa sản xuất từ nguyên liệu không có xuất xứ khi nào được xem là hàng hóa có xuất xứ?
830,"Không nhường đường theo quy định, không báo hiệu bằng tay khi chuyển hướng bị phạt tiền thế nào?"
831,Trường hợp công trình thiết yếu đi ngầm qua đường bộ thì phải thực hiện những yêu cầu gì?
832,Người được hưởng trợ cấp xã hội có được nhận gạo vào Tết âm lịch không?
833,"Quan hệ công tác của UBND quận với UBND, Chủ tịch UBND TP HCM được quy định như thế nào?"
834,Mức phạt khi chuyển làn đường không đúng nơi cho phép khi chạy xe ô tô trên đường cao tốc
835,"Người khai thác CHKSB đề nghị sửa đổi giấy chứng nhận khai thác cảng hàng không, sân bay thì phải gửi hồ sơ như thế nào?"
836,Tôi muốn chứng nhận các thiết bị nhập khẩu lắp đặt cho tàu biển tôi cần đến đâu
837,Hội đồng NVQS và thành phần của Hội đồng NVQS được quy định như thế nào?
838,Chạy xe với tốc độ chậm thì vẫn bị phạt được quy định như thế nào?
839,Cơ quan nào có thẩm quyền  xét công nhận  nghề truyền thống/ làng nghề/ làng nghề truyền thống?
840,"Ông/bà cho biết thủ tục thay đổi, bổ sung lĩnh vực giám định tư pháp của Văn phòng giám định tư pháp?"
841,Trong trường hợp nào thì Doanh nghiệp đã được cấp giấy phép kinh doanh dịch vụ viễn thông bị thu hồi giấy phép?
842,Điều kiện người nước ngoài quá cảnh được vào VN du lịch và doanh nghiệp được tổ chức cho người nước ngoài quá cảnh du lịch VN được quy định như thế nào?
843,"Tôi là người bị thiệt hại yêu cầu bồi thường thì tôi cần chuẩn bị hồ sơ bao gồm những giấy tờ, tài liệu nào?"
844,Xe chưa được cấp biển số chính thức có nhu cầu tham gia giao thông thì phải làm gì?
845,Hồ sơ để được cấp lại thẻ giám định viên quyền đối với giống cây trồng gồm những gì?
846,Cây đầu dòng là gì?
847,"Công ty tôi có tài sản gồm máy móc, dây chuyền sản xuất, xe ô tô… đã thế chấp cho Ngân hàng và có nhu cầu dăng ký biện pháp bảo đảm. Vậy các tài sản nêu trên có được đăng ký không?"
848,Mức phạt đối với hành vi chuyển mục đích sử dụng rừng phòng hộ có diện tích dưới 600 m2 không đúng quy định được quy định như thế nào?
849,"Đăng ký NVQS khi thay đổi nơi cư trú hoặc nơi làm việc, học tập được quy định như thế nào?"
850,"Mức phạt đối với xe ô tô gắn biển số bị bẻ cong, bị che lấp, bị hỏng"
851,Không thực hiện hợp đồng có bị mất tiền cọc không?
852,"Lưu trú đối với người nước ngoài tham gia hoạt động ứng phó, khắc phục hậu quả thiên tai tại Việt Nam được quy định như thế nào?"
853,Nuôi gà gây mất vệ sinh trong khu dân cư bị xử lý thế nào?
854,"Những trường hợp nào được miễn lệ phí cấp, đổi, cấp lại thẻ Căn cước công dân?"
855,Trình tự thực hiện giải quyết hồ sơ đăng ký chuyển đổi cơ cấu cây trồng từ trồng lúa sang trồng cây hàng năm hoặc trồng lúa kết hợp nuôi trồng thủy sản trên đất trồng lúa
856,"Trong quá trình thực hiện hợp đồng, nếu muốn được sửa đổi, bổ sung hợp đồng khám, chữa bệnh thì phải làm gì?"
857,Xử lý không đúng quy định của pháp luật đối với bưu gửi không có người nhận bị phạt bao nhiêu tiền?
858,Chức năng của cơ sở cai nghiện ma túy công lập gồm những gì?
859,Công chứng hợp đồng mua bán không xác định được quyền tài sản của người cần công chứng phạt bao nhiêu?
860,"Trình tự giải quyết chế độ, chính sách đối với dân quân chưa tham gia bảo hiểm y tế, bảo hiểm xã hội khi thực hiện nhiệm vụ bị tai nạn, bị chết được quy định như thế nào?"
861,Những dịch vụ nào được cung cấp trực tuyến trong việc kiểm soát hộ chiếu công dân Việt Nam?
862,Quy định về dấu định lượng theo quy định pháp luật
863,Mức phạt khi điều khiển xe ô tô kéo theo xe khác là bao nhiêu?
864,Hồ sơ đăng ký kiểm dịch tạm nhập tái xuất các mặt hàng sản phẩm động vật trên cạn gồm những gì?
865,Công ty A muốn sản xuất thuốc thú y cần phải có những chứng chỉ hành nghề gì?
866,Thời hạn để Bộ Tài chính phê chuẩn sản phẩm bảo hiểm nhân thọ là bao lâu?
867,Muốn đưa báo hiệu hàng hải vào sử dụng cần làm thủ tục ở đâu?
868,Mức phạt hành vi dựng biển quảng cáo trên đất hành lang an toàn đường bộ khi chưa được phép
869,Công an xã chuyển công tác có được hưởng trợ cấp?
870,Nhân viên phục vụ xe khách bắt ép hành khách sử dụng dịch vụ ngoài ý muốn bị phạt bao nhiêu tiền?
871,"Hồ sơ đề nghị chấp thuận trực tiếp nhận và chi, trả ngoại tệ của tổ chức kinh tế gồm những gì?"
872,"Dự án đầu tư, tài sản thuộc dự án đầu tư về bảo đảm thực hiện nghĩa vụ dân sự được quy định như thế nào?"
873,Trách nhiệm báo cáo và công bố thông tin của thành viên Hội đồng quản trị công ty đại chúng được quy định như thế nào?
874,Cách thức thực hiện mua thuốc tập trung được quy định như thế nào?
875,Mức phạt khi điều khiển xe ô tô không chú ý quan sát gây tai nạn giao thông
876,"Thời hạn có ý kiến chấp thuận bằng văn bản của Bộ Nông nghiệp và Phát triển nông thôn đối với các hoạt động xây dựng, cải tạo công trình giao thông liên quan đến đê điều là bao lâu?"
877,Điều kiện được hủy bỏ niêm yết chứng quyền có bảo đảm tự nguyện được quy định như thế nào?
878,"Chồng tôi thuộc trường hợp được nhà nước bồi thường, nay chồng tôi đã mất thì tôi có thể thay chồng tôi yêu cầu bồi thường được không?"
879,Quy định về trách nhiệm quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội trong phòng chống tác hại của rượu bia được quy định như thế nào?
880,"Mức phạt đối với hành vi thông báo tuyển sinh, công bố đề án tuyển sinh không đầy đủ thông tin là bao nhiêu?"
881,Đại sứ quán Việt Nam không chấp thuận cấp thị thực thì khởi kiện như thế nào và ở đâu?
882,Đơn vị công lập có được thuê dịch vụ bảo vệ không?
883,Thời hạn sử dụng giấy đăng ký xe của cơ quan đại diện ngoại giao
884,Trợ cấp một lần khi nghỉ hưu đối với lao động nam tham gia BHXH bắt buộc được quy định như thế nào?
885,Huấn luyện nghiệp vụ cơ bản cho thuyền viên được quy định như thế nào?
886,Điều kiện công nhận đối với TBKT công nghệ sinh học nghành nông nghiệp là gì? Khi nào Quyết định công nhận TBKT công nghệ sinh học ngành nông nghiệp bị hủy bỏ?
887,"Tôi có thể đăng ký ngành, nghề kinh doanh không có trong Hệ thống ngành kinh tế Việt Nam không?"
888,"Trường hợp nào thì tổ chức kinh tế phải cung cấp văn bản xác nhận của tổ chức tín dụng cung ứng dịch vụ tài khoản về tình hình giải ngân, thu hồi nợ khoản cho vay ra nước ngoài khi thực hiện thủ tục đăng ký thay đổi khoản cho vay ra nước ngoài với NHNN?"
889,Xét nghiệm nhanh là gì?
890,"NLĐ chết do tai nạn lao động, bệnh nghề nghiệp hoặc chết trong thời gian điều trị do tai nạn lao động, bệnh nghề nghiệp. Thân nhân được hưởng trợ cấp mai táng như thế nào?"
891,"Hồ sơ đăng ký thẩm định cấp Giấy chứng nhận ATTP, bổ sung Danh sách xuất khẩu bao gồm những gì?"
892,"Thủ tục, hồ sơ để cấp giấy phép thành lập nhà xuất bản?"
893,Đánh giá hồ sơ đề xuất về kỹ thuật của nhà đầu tư thực hiện dự án đầu tư có sử dụng đất gồm những bước nào?
894,Có cấp chứng minh nhân dân đối với Việt kiều về Việt Nam sống không?
895,"Việc quy định trách nhiệm, phối hợp của các Cơ quan: Thanh tra, kiểm toán, Điều tra, Viện Kiểm sát nhân dân, Tòa án nhân dân và cơ quan, tổ chức, đơn vị khác trong phòng, chống tham nhũng?"
896,Tôi có thời gian công tác trước năm 1995 nhưng do thời gian đã quá lâu nên tôi không còn giữ được hồ sơ. Vậy tôi phải làm thế nào để được cộng nối thời gian công tác trước đây?
897,"Công ty tôi đang làm hồ sơ sửa đổi tên doanh nghiệp trong giấy phép bưu chính, thời gian cấp sửa đổi giấy phép bưu chính là bao nhiêu ngày?"
898,"Hồ sơ, trình tự đăng ký nghĩa vụ quân sự tạm vắng đối với quân nhân dự bị được quy định như thế nào?"
899,Ban chỉ huy quân sự cấp xã được có bao nhiêu Phó chỉ huy?
900,Doanh nghiệp nước ngoài có được cấp phép cung cấp dịch vụ chứng thực chữ ký số công cộng tại Việt Nam hay không?
901,Được cấp Giấy chứng nhận khả năng chuyên môn thủy thủ trực ca OS cần điều kiện gì?
902,"Tôi đang tham gia một chương trình đào tạo, nâng cao trình độ tay nghề, vậy tôi có được hỗ trợ gì không? Tôi phải tới đâu để được hỗ trợ?"
903,Đánh giá hiện trạng vùng bờ là gì?
904,Khi nào thì quyết định chỉ định của chúng tôi bị đình chỉ hiệu lực?
905,Có bao nhiêu câu kiến thức chung trong đề thi cấp chứng chỉ đại lý bảo hiểm?
906,Trái phiếu ngoại tệ là gì?
907,"Hồ sơ đề nghị chấp thuận thay đổi, bổ sung trực tiếp nhận và chi, trả ngoại tệ của tổ chức kinh tế gồm những gì?"
908,"Cá nhân tư vấn độc lập thực hiện việc lập đề án, báo cáo trong hồ sơ đề nghị cấp giấy phép xả nước thải vào nguồn nước cần phải đáp ứng những điều kiện nào?"
909,Để súc vật kéo xe mà không có người điều khiển bị phạt thế nào?
910,Những trường hợp nào được cấp Chứng minh nhân dân?
911,"Cơ sở  X muốn hành nghề khảo nghiệm, xuất khẩu, nhập khẩu thuốc thú y thì cần điều kiện gì?"
912,"Thủ tục cập nhật, thay đổi thông tin của Hội đồng đạo đức trong nghiên cứu y sinh học được quy định như thế nào?"
913,Tôi muốn thực hiện thủ tục cấp thẻ hướng dẫn viên du lịch quốc tế/nội địa thì phải đến đâu?
914,Xin hỏi cơ quan tiếp nhận hồ sơ và thẩm định quy trình vận hành hồ chứa nước?
915,Thẩm quyền cấp Giấy chứng nhận cơ sở đủ điều kiện sản xuất thức ăn thủy sản  được quy định như thế nào?
916,"Khai thác, sử dụng thông tin, dữ liệu về nhà ở và thị trường bất động sản theo hình thức hợp đồng được quy định như thế nào?"
917,Tiêu chuẩn của thành viên Hội đồng tư vấn chuyên môn đánh giá nguyên nhân tai biến nặng trong quá trình sử dụng vắc xin cấp Bộ được quy định như thế nào?
918,Pháp luật quy định như nào về thủ tục thôi làm hòa giải viên?
919,Những căn cứ để xác định trách nhiệm bồi thường của Nhà nước bao gồm những căn cứ nào?
920,Hồ sơ đề nghị chấp thuận nâng cấp phòng giao dịch bưu điện thành phòng giao dịch gồm những gì?
921,Ông/bà cho biết thủ tục chấm dứt hoạt động Văn phòng giám định tư pháp trường hợp Văn phòng giám định tư pháp tự chấm dứt hoạt động?
922,Xin cho tôi hỏi điều kiện để được cấp Giấy phép kinh doanh dịch vụ viễn thông Doanh nghiệp cần phải đáp ứng điều kiện gì?
923,"Phòng thử nghiệm của tổ chức, doanh nghiệp chỉ thực hiện hoạt động thử nghiệm phục vụ kiểm soát chất lượng sản phẩm do chính tổ chức, doanh nghiệp sản xuất ra thì có phải thực hiện đăng ký hoạt động thử nghiệm theo Nghị định số 107/2016/NĐ-CP không?"
924,"Nhà thuốc của tôi hiện 15m2, tháng sau tôi mở rộng thành 25 m2, tôi có phải thực hiện là hồ sơ đánh giá GPP lại không?"
925,Đề nghị cho biết thời gian xem xét hồ sơ đề nghị cấp giấy phép cho hoạt động nuôi trồng thủy sản trong phạm vi bảo vệ công trình thủy lợi là bao nhiêu lâu?
926,"Trình tự, thủ tục khai thác thực vật rừng ngoài gỗ và dẫn xuất của thực vật thông thường từ rừng tự nhiên được thực hiện như thế nào?"
927,Hoạt động thống kê nhà nước về hải quan là gì?
928,Doanh nghiệp bảo hiểm muốn thay đổi địa điểm đặt Văn phòng đại diện. Doanh nghiệp bảo hiểm có cần thực hiện thủ tục gì với Bộ Tài chính không?
929,Thủ tục cấp giấy phép mang vũ khí thô sơ để bảo vệ cho các đối tượng Cảnh vệ thực hiện như thế nào?
930,"Thời gian NHNN xem xét cấp Quyết định thay đổi nội dung thông tin doanh nghiệp cho đơn vị được cấp Giấy phép kinh doanh mua, bán vàng miếng là bao lâu?"
931,Thẩm quyền bổ nhiệm Thủ trưởng cơ quan thi hành án hình sự Công an cấp huyện được quy định như thế nào?
932,Công nhận đủ trình độ phiên dịch ngành dược thì hiện tại thì có thể thi ở đâu để được công nhận và hiện tại có những ngôn ngữ nào?
933,"Xuất bản phẩm là Tài liệu phục vụ hội thảo, hội nghị quốc tế tại Việt Nam đã được cơ quan có thẩm quyền của Việt Nam cho phép tổ chức sau khi sử dụng xong thì xử lý như thế nào?"
934,"Mức phạt đối với hành vi tổ chức nghỉ dưỡng, giải trí trong phân khu bảo vệ nghiêm ngặt của rừng đặc dụng được quy định như thế nào?"
935,"Dữ liệu về đăng ký, đăng kiểm tàu cá gồm những gì?"
936,Các hành vi nào bị nghiêm cấm theo Luật PCTN?
937,Mức phạt đối với hành vi sử dụng tài nguyên không đúng quy hoạch theo phê duyệt được quy định như thế nào?
938,Bộ Công Thương tổ chức kiểm tra kiến thức pháp luật về bán hàng đa cấp theo quy trình như thế nào?
939,"Thầy thuốc từng công tác ở bệnh viện tuyến tỉnh, được điều động về Sở Y tế được 01 năm giữ chức vụ Trưởng phòng Nghiệp vụ Y, thời gian công tác trực tiếp làm chuyên môn kỹ thuật 15 năm 5 tháng; có được tham gia tại Hội đồng của bệnh viện không?"
940,Tiêu chuẩn đối với kiểm định viên kiểm định kỹ thuật an toàn lao động được quy định tại văn bản nào?
941,Điều kiện của tổ chức cá nhân nhận chuyển nhượng quyền khai thác tài nguyên nước
942,Hồ sơ đề nghị chấp thuận thay đổi thời hạn hoạt động của ngân hàng hợp tác xã gồm những gì?
943,"Khi công trình chưa được khởi công, chủ đầu tư được phép gia hạn giấy phép xây dựng tối đa bao nhiêu lần?"
944,Quản lý giấy phép KCB trong quân đội được quy định như thế nào?
945,Dự án của tôi đã tạm ứng tiền giải phóng mặt bằng thì có được hoãn ký quỹ không?
946,Giấy phép thành lập Trung tâm hòa giải thương mại được cấp lại khi nào?
947,Thẩm quyền giải quyết khiếu nại của Chủ tịch Ủy ban nhân dân cấp tỉnh?
948,Bộ LĐTB&XH có trách nhiệm gì trong công tác tái hòa nhập cộng đồng phạm nhân?
949,Trung tâm sát hạch lái xe không niêm yết mức giá các dịch vụ bị phạt bao nhiêu tiền?
950,"Để được cấp Giấy phép KDVCHK, KDHKC các doanh nghiệp phải đáp ứng các điều kiện gì?"
951,Thủ tướng Chính phủ quyết định chủ trương đầu tư đối với loại dự án nào do nhà đầu tư đề xuất?
952,"Xúc phạm danh dự, nhân phẩm người khác bị xử lý như thế nào?"
953,"Thành phần hồ sơ đề nghị cấp Giấy phép khai thác sử dụng nước mặt, nước biển bao gồm những gì?"
954,"Thủ tục cấp lại Giấy phép kinh doanh vận tải do bị mất, bị hỏng được quy định như thế nào?"
955,Trong ứng dụng CNTT thời gian phê duyệt đề cương và dự toán chi tiết được quy định như thế nào?
956,Ủy ban nhân dân cấp tỉnh quyết định chủ trương đầu tư đối với loại dự án nào do nhà đầu tư đề xuất?
957,"Toa xe vận tải hàng nguy hiểm và ga xếp, ga dỡ hàng nguy hiểm trên đường sắt được quy định như thế nào?"
958,"Tôi đã được cấp Chứng chỉ hành nghề Quản tài viên, tuy nhiên tôi đã làm mất Chứng chỉ, nay tôi muốn xin cấp lại Chứng chỉ hành nghề Quản tài viên thì tôi phải thực hiện thủ tục gì?"
959,Dự phòng nợ phải thu khó đòi là gì?
960,"Theo quy định tại Điều 26 và 28 Thông tư 07/2018/TT-BYT và Nghị định số 54/2017/NĐ-CP, Sở Y tế phải thành lập Hội đồng tư vấn cấp Chứng chỉ hành nghề dược theo hình thức xét hồ sơ và Hội đồng có trách nhiệm tư vấn cho Sở Y tế trong việc cấp, cấp lại, thu hồi CCHND.Theo quy định tại khoản 1 điều 18 Nghị định 54/2017/NĐ-CPM, tất cả cá Hồ sơ đề nghị cấp, cấp lại, điểu chỉnh, thu hồi CCHND đều phải có ý kiến của Hội đồng tư vấn hay chỉ những trường hợp nào chưa xác định được rõ phạm vi hành nghề như quy định tại Điều 18 Nghị định 54/2017/NĐ-CP mới cần ý kiến của Hội đồng tư vấn"
961,Hồ chứa nước hết tuổi thọ công trình muốn tiếp tục khai thác sử dụng thì cần thực hiện thủ tục gì?
962,"Tôi muốn làm thủ tục đăng ký sổ đỏ, tôi cần những thủ tục gì? (đất đã tranh chấp được cơ quan Tòa án tuyên giao quyền sử dụng đất, cơ quan THADS thực hiện giao đất). Tôi muốn làm thủ tục sang tên đăng ký đối với tài sản mua từ cơ quan tài chính (tài sản được tuyên tịch thu sung quỹ nhà nước do Bản án của Tòa án tuyên), tôi cần làm những thủ tục gì?"
963,Nội dung về quản lý trật tự xây dựng được quy định như thế nào?
964,Hoàn thiện Hồ sơ kết quả pháp điển hệ thống quy phạm pháp luật được quy định như thế nào?
965,Công ty B muốn sản xuất thuốc thú y thì những loại thuốc nào công ty được phép sản xuất?
966,Thời gian thực hiện thủ tục hành chính cấp lại Giấy phép dịch vụ nổ mìn là bao nhiêu lâu?
967,Việc phòng cháy đối với trụ sở làm việc được quy định như thế nào?
968,"Gia đình tôi thuộc hộ cận nghèo, chồng tôi có nhu cầu đi làm việc ở nước ngoài? Vậy chồng tôi có được hỗ trợ gì không? Thủ tục hỗ trợ như thế nào?"
969,"Dấu của cơ quan, đơn vị được trình bày như thế nào trong văn bản hành chính của các cơ quan, đơn vị trong quân đội?"
970,"Mức phạt hành khi  thu gom, sơ chế các loài thủy sản có xuất xứ từ cơ sở nuôi,  vùng nuôi thủy sản cấm thu hoạch được quy định như thế nào?"
971,Mức phạt khi không thực hiện đầy đủ các nội dung quy định trong quy trình quản lý đường bộ đã được phê duyệt
972,"Các khoản chi nào không được tính vào chi phí hợp lý, hợp lệ để xác định giá sản phẩm, dịch vụ thủy lợi khác?"
973,Tổ chức kinh tế đã được nước sở tại cấp Giấy phép hoạt động văn phòng đại diện ở nước ngoài có cần làm thủ tục Hợp pháp hóa lãnh sự khi làm thủ tục đề nghị cấp Giấy phép mở và sử dụng tài khoản ngoại tệ ở nước ngoài không?
974,Quy định về thời hiệu xử lý kỷ luật trong quốc phòng được quy định như thế nào?
975,Giấy đăng ký hoạt động của chi nhánh tổ chức hòa giải thương mại nước ngoài tại Việt Nam được cấp lại trong trường hợp nào?
976,Dự phòng tổn thất các khoản đầu tư là gì?
977,Mức chi hỗ trợ xây dựng mô hình thí điểm về áp dụng sản xuất sạch hơn trong công nghiệp được quy định như thế nào?
978,Thời gian giám định có được tính vào thời hạn giải quyết tố cáo không?
979,"Đối với dự án do nhà đầu tư đề xuất, nhà đầu tư có được đề xuất phần tham gia của Nhà nước trong báo cáo nghiên cứu tiền khả thi không? Nếu có cần điều kiện gì?"
980,"Con tôi có 2 hộ chiếu Việt Nam và hộ chiếu nước ngoài, hiện con tôi đang sống ở Việt Nam và nay con tôi muốn du lịch sang một nước thứ 3. Vậy con tôi nên sử dụng hộ chiếu nào để mua vé đi nước thứ 3 đó mà không gặp vấn đề gì khi làm thủ tục xuất nhập cảnh tại Việt Nam?"
981,Trường hợp nội dung kê khai trong hồ sơ đăng ký thay đổi nội dung đăng ký doanh nghiệp là giả mạo thì sẽ xử lý như thế nào?
982,Nguyên tắc về thời gian và tổ chức thực hành KCB trong quân đội được quy định như thế nào?
983,"Theo quy định cá nhân đạt 06 lần danh hiệu “Chiến sỹ thi đua cấp cơ sở” (không quy định liên tục như trước đây) tức là có thể có thời gian gián đoạn, nhưng khoảng cách gián đoạn là bao nhiêu năm? Trước thời điểm xét TTND, TTUT có cần yêu cầu phải đạt danh hiệu “Chiến sỹ thi đua cấp cơ sở” của năm liền kề hay không?"
984,Chưa đăng ký kết hôn có được đi thăm chồng đang cai nghiện bắt buộc không?
985,Phải giữ chức danh giáo viên tiểu học hạng III bao lâu mới được thi lên hạng II?
986,Đi xe đạp dàn hàng 3 thì bị xử phạt thế nào?
987,Xin hỏi Nguyên tắc áp dụng điều kiện đầu tư đối với nhà đầu tư nước ngoài?
988,Hồ sơ yêu cầu cấp Phiếu lý lịch tư pháp cho cá nhân gồm những giấy tờ gì?
989,Ủy ban nhân dân cấp tỉnh có được phân cấp cho Ban quản lý khu công nghệ cao cấp giấy phép xây dựng hay không?
990,Quyết định giải quyết khiếu nại lần hai gồm những nội dung gì?
991,Tổ chức hội nghị đối thoại giữa Chủ tịch phường với Nhân dân ở TP HCM được quy định như thế nào?
992,Các TTND TTUT đều đã nghỉ hưu thì có mời vào Hội đồng không?
993,Trường hợp nào sẽ được cấp Giấy chứng nhận Lao động hàng hải tạm thời
994,Mức phạt khi không thực hiện đúng quy trình tuyển sinh theo quy định của pháp luật là bao nhiêu?
995,"Sử dụng thiết bị vô tuyến điện cho mục đích giới thiệu công nghệ trong triển lãm, hội chợ thì làm thủ tục gì?"
996,Quay đầu xe trên cầu thì bị phạt bao nhiêu?
997,Thực hiện không đúng quy định về phát bưu gửi bị phạt bao nhiêu?
998,Tôi muốn biết những trường hợp nào bị miễn nhiệm báo cáo viên pháp luật theo quy định của pháp luật?
999,"Thời gian để chi nhánh ngân hàng nước ngoài bổ sung, hoàn chỉnh hồ sơ đề nghị chấp thuận dự kiến nhân sự bổ nhiệm Tổng Giám đốc (Giám đốc)  theo yêu cầu của Ngân hàng Nhà nước là bao lâu?"
1000,Hoạt động khuyến mại theo phương thức đa cấp được quy định như thế nào?
